Current,,,,,,,,,
,,,,,,,,,
基金名稱,年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
00905 FT臺灣Smart,2025/11,M2800,金融業(合計),-,3.41,"219,023",-,1.1873,
00905 FT臺灣Smart,2025/11,MTSE,國內上市,-,49.03,"3,149,181",-,-2.1495,
00905 FT臺灣Smart,2025/11,TT99,基金總規模,-,-,"6,422,967",-,-,
00906 大華元宇宙科技50,2025/11,-,-,-,-,-,-,-,-
00907 永豐優息存股,2025/11,1477,聚陽,549,5.58,"173,781",0.22,17.658,TW0001477008
00907 永豐優息存股,2025/11,1504,東元,"1,935",5.45,"169,732",0.08,-24.7211,TW0001504009
00907 永豐優息存股,2025/11,2603,長榮,"1,310",7.55,"235,134",0.06,-7.2353,TW0002603008
00907 永豐優息存股,2025/11,2609,陽明,"2,893",4.83,"150,423",0.08,-9.5652,TW0002609005
00907 永豐優息存股,2025/11,2881,富邦金,"1,682",5,"155,718",0.01,1.5352,TW0002881000
00907 永豐優息存股,2025/11,M1400,紡織纖維,-,5.58,"173,781",-,7.7749,
00907 永豐優息存股,2025/11,M1500,電機機械,-,5.45,"169,732",-,-8.8799,
00907 永豐優息存股,2025/11,M2600,航運業,-,12.38,"385,557",-,-3.437,
00907 永豐優息存股,2025/11,M2800,金融業(合計),-,5,"155,718",-,1.1873,
00907 永豐優息存股,2025/11,MTSE,國內上市,-,28.41,"884,787",-,-2.1495,
00907 永豐優息存股,2025/11,TT99,基金總規模,-,-,"3,114,351",-,-,
00908 富邦入息REITs+,2025/11,-,-,-,-,-,-,-,-
00909 國泰數位支付服務,2025/11,-,-,-,-,-,-,-,-
00910 第一金太空衛星,2025/11,-,-,-,-,-,-,-,-
00911 兆豐洲際半導體,2025/11,-,-,-,-,-,-,-,-
00912 中信臺灣智慧 50,2025/11,-,-,-,-,-,-,-,-
00913 兆豐台灣晶圓製造,2025/11,2303,聯電,419,7.37,"19,184",0,-1.293,TW0002303005
00913 兆豐台灣晶圓製造,2025/11,2330,台積電,42,23.44,"61,014",0,-3.9998,TW0002330008
00913 兆豐台灣晶圓製造,2025/11,2454,聯發科,14,7.72,"20,095",0,6.4885,TW0002454006
00913 兆豐台灣晶圓製造,2025/11,3443,創意,5,4.02,"10,464",0,47.7125,TW0003443008
00913 兆豐台灣晶圓製造,2025/11,6488,環球晶,33,4.81,"12,520",0.01,-25.9842,TW0006488000
00913 兆豐台灣晶圓製造,2025/11,M2300,電子工業,-,47.36,"123,278",-,-3.1657,
00913 兆豐台灣晶圓製造,2025/11,MOTC,國內上櫃,-,4.81,"12,520",-,-0.768,
00913 兆豐台灣晶圓製造,2025/11,MTSE,國內上市,-,42.55,"110,758",-,-2.1495,
00913 兆豐台灣晶圓製造,2025/11,TT99,基金總規模,-,-,"260,300",-,-,
00915 凱基優選高股息30,2025/11,-,-,-,-,-,-,-,-
00916 國泰全球品牌50,2025/11,-,-,-,-,-,-,-,-
00917 中信特選金融,2025/11,-,-,-,-,-,-,-,-
00918 大華優利高填息30,2025/11,-,-,-,-,-,-,-,-
00919 群益台灣精選高息,2025/11,2303,聯電,"817,654",9.3,"37,448,574",6.51,-1.293,TW0002303005
00919 群益台灣精選高息,2025/11,2603,長榮,"142,674",6.36,"25,609,992",6.59,-7.2353,TW0002603008
00919 群益台灣精選高息,2025/11,2881,富邦金,"540,956",12.44,"50,092,501",3.86,1.5352,TW0002881000
00919 群益台灣精選高息,2025/11,2882,國泰金,"927,653",14.79,"59,555,312",6.32,0.3123,TW0002882008
00919 群益台灣精選高息,2025/11,2891,中信金,"1,265,014",13.65,"54,964,842",6.44,3.8231,TW0002891009
00919 群益台灣精選高息,2025/11,M2300,電子工業,-,9.3,"37,448,574",-,-3.1657,
