Current,,,,,
,,,,,
基金名稱,年月,投資股數,投資比率％,持股數/流通在外股數%,個股月報酬率％
2442 新美齊,2025/09,-,-,-,-
2443 昶虹,2025/09,-,-,-,-
2444 兆勁,2025/09,-,-,-,-
2445 南方,2025/09,-,-,-,-
2446 全懋,2025/09,-,-,-,-
2447 鼎新,2025/09,-,-,-,-
2448 晶電,2025/09,-,-,-,-
2449 京元電子,2025/09,"149,498",0.59,12.23,5.13
2450 神腦,2025/09,11,0,0,-3.38
2451 創見,2025/09,"51,043",0.14,11.85,8.91
2452 乾坤,2025/09,-,-,-,-
2453 凌群,2025/09,-,-,-,-
2454 聯發科,2025/09,"82,796",2.63,5.16,-4.01
2455 全新,2025/09,"20,336",0.08,11,2.88
2456 奇力新,2025/09,-,-,-,-
2457 飛宏,2025/09,1,0,0,-3.59
2458 義隆,2025/09,"47,069",0.15,15.49,11.03
2459 敦吉,2025/09,3,0,0,-1.24
2460 建通,2025/09,-,-,-,-
2461 光群雷,2025/09,-,-,-,-
2462 良得電,2025/09,-,-,-,-
2463 Ｄ研揚,2025/09,-,-,-,-
2464 盟立,2025/09,6,0,0,-5.59
2465 麗臺,2025/09,-,-,-,-
2466 冠西電,2025/09,-,-,-,-
2467 志聖,2025/09,346,0,0.22,-5.9
2468 華經,2025/09,-,-,-,-
2469 力信,2025/09,-,-,-,-
